행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
연제구,209980,210509,210326,210086,209873,209514,209345,210146,210362,210191,209688,209157,35.17640584,129.0796413
수영구,176112,176879,176967,176984,176886,176975,176742,176937,177266,177085,176885,176894,35.14574351,129.1131838
사상구,217594,217250,216840,216507,216083,215709,215332,214826,214345,213747,213178,212586,35.15280367,128.9911898
기장군,164710,166321,167586,168132,169142,170139,171369,172288,172774,173167,173918,174545,35.24482811,129.2222634
중구,77282,77151,77136,76955,76880,76984,77062,77120,77030,76849,76727,76547,35.86947505,128.6060564
동구,344932,343857,343933,343568,342897,342627,342657,343317,343233,342552,342432,341920,35.88681859,128.6355584
서구,174803,174389,174042,173807,173278,172802,172657,172465,171947,171576,171060,170700,35.87200214,128.5592204
남구,148057,147938,148083,147905,147746,147482,147355,147235,146864,146513,146658,146632,35.84618324,128.5973754
북구,437189,436530,436847,436863,437566,438608,439432,439690,440500,440832,440736,440263,35.88430565,128.5815912
수성구,428770,428729,428777,428125,427436,426919,426611,426437,425949,425639,424947,424314,35.85823498,128.6305627
달서구,568663,567716,567978,567375,566213,565378,564639,563730,562972,561568,560354,558631,35.82992525,128.5326441
달성군,256792,256573,256772,256925,257043,257154,257609,258234,258354,258642,258945,259339,35.77475899,128.4313244
중구,136013,136879,137587,137994,138535,138783,139042,139154,139299,139391,139646,139729,37.47393798,126.6215171
동구,64337,64216,64039,63866,63795,63546,63309,63093,62957,62802,62747,62542,37.4740331,126.6432655
미추홀구,408394,407369,406829,406690,406602,406125,405498,404360,403500,402662,402392,404343,37.46365763,126.6502865
연수구,367321,369588,370796,371396,372206,372566,374353,378093,380980,383529,385973,387450,37.41037273,126.678298
남동구,532569,532257,531960,531526,531031,530416,529413,528255,527515,527080,526337,525354,37.44725267,126.7314723
부평구,510362,508587,506682,505236,503946,502365,501128,499290,497902,496958,495882,494962,37.50724197,126.7218691
계양구,302832,301984,301395,300885,300446,299853,299210,298184,297540,297282,297148,296750,37.53757116,126.7377225
서구,544608,544465,544034,543994,544010,544136,544147,543627,543365,542982,542611,542040,37.54548073,126.6760045
강화군,69197,69154,68996,69030,69102,69060,69032,69003,69070,69069,69074,69203,37.74685272,126.4878739
